high,medium,low,id
0.070285805,0.40141863,0.5282956,0
0.32748476,0.39104697,0.28146827,1
0.035799127,0.08911065,0.87509024,2
0.046846915,0.32154155,0.6316115,3
0.06941873,0.23744033,0.6931409,4
0.00266721,0.04147242,0.95586044,5
0.021294408,0.27808776,0.70061785,6
0.078648,0.53756696,0.38378507,7
0.068045735,0.38073242,0.55122185,8
0.03463556,0.25909442,0.70627,9
0.003885169,0.034235463,0.96187943,10
0.06041701,0.41640335,0.52317965,11
0.05873081,0.38637784,0.55489135,12
0.009201247,0.05043614,0.9403626,13
0.00686588,0.08630098,0.9068331,14
0.009544616,0.09906596,0.89138937,15
0.0788741,0.3477735,0.5733524,16
0.0004833564,0.006354142,0.9931625,17
0.022750553,0.09264719,0.88460225,18
0.10660814,0.43003437,0.46335748,19
0.040262323,0.26216134,0.6975763,20
0.010263959,0.104126334,0.88560975,21
0.062619284,0.3202234,0.61715734,22
0.21461634,0.5147312,0.27065244,23
0.00996118,0.17442779,0.815611,24
0.15596482,0.5472405,0.29679468,25
0.010782585,0.15293175,0.8362857,26
0.18191323,0.42825755,0.38982922,27
0.060200702,0.28843147,0.6513679,28
0.05793891,0.19300197,0.7490591,29
0.14704974,0.05306437,0.79988587,30
0.10534416,0.50946426,0.3851916,31
0.016089896,0.06960938,0.91430074,32
0.3604118,0.44996482,0.18962334,33
0.0045544174,0.073007606,0.922438,34
0.058835816,0.19528517,0.745879,35
0.17678775,0.5520034,0.27120888,36
0.15124391,0.5501658,0.2985903,37
0.0030092602,0.05707431,0.9399165,38
0.0203747,0.17524332,0.804382,39
0.025192576,0.25945005,0.71535736,40
0.009353962,0.031067308,0.9595788,41
0.047959197,0.30652103,0.64551973,42
0.04084238,0.13119592,0.8279617,43
0.18929192,0.4109973,0.3997108,44
0.07795576,0.40993017,0.51211405,45
0.1692719,0.5980855,0.23264255,46
0.10058506,0.6055758,0.29383916,47
0.08774733,0.33958367,0.572669,48
0.038229436,0.37285522,0.58891535,49
0.032601204,0.20003332,0.76736546,50
0.4075287,0.4247837,0.16768757,51
0.011153746,0.13017493,0.8586713,52
0.105245195,0.42658833,0.46816653,53
0.006029888,0.07961928,0.9143508,54
0.050144583,0.5141104,0.43574503,55
0.013205484,0.06035579,0.92643875,56
0.39262685,0.32760525,0.27976793,57
0.013987622,0.14466695,0.84134537,58
0.05120072,0.41728708,0.5315122,59
0.0048041684,0.058682013,0.9365138,60
0.0005902059,0.008418908,0.9909909,61
0.003453124,0.029769978,0.9667769,62
0.017821489,0.34928924,0.6328893,63
0.0037747398,0.029857745,0.9663675,64
0.016942801,0.21350415,0.76955307,65
0.026761746,0.36042276,0.6128155,66
0.012996849,0.04974878,0.9372544,67
0.082652695,0.70239276,0.21495456,68
0.13235533,0.4083402,0.45930445,69
0.004269037,0.06161153,0.9341194,70
0.0022322421,0.029931149,0.9678366,71
0.0021093097,0.01474157,0.9831492,72
0.0082801,0.08836644,0.90335345,73
0.053785883,0.30656728,0.6396468,74
0.01529271,0.11516414,0.86954314,75
0.0011207612,0.008387,0.9904923,76
0.03601982,0.26034385,0.70363635,77
0.025618332,0.08260932,0.89177233,78
0.69237256,0.22561051,0.08201691,79
0.11689807,0.4663599,0.41674197,80
0.002265429,0.0353211,0.96241355,81
0.11151399,0.44731838,0.44116768,82
0.041073658,0.3847484,0.5741779,83
0.14837885,0.47177947,0.37984166,84
0.14939338,0.4633821,0.38722456,85
0.0019652073,0.027451806,0.97058296,86
0.06778502,0.27129316,0.6609218,87
0.1586425,0.43472332,0.40663418,88
0.18933555,0.3315375,0.47912693,89
0.097983874,0.37401873,0.5279974,90
0.30581388,0.56014127,0.13404487,91
0.04940708,0.37756702,0.5730259,92
0.0025249312,0.027904233,0.9695709,93
0.0026711815,0.019791177,0.97753763,94
0.51776224,0.34936598,0.1328718,95
0.0046003517,0.054710172,0.9406895,96
0.031586207,0.30562702,0.6627867,97
0.0010243497,0.023534046,0.97544163,98
0.0022103228,0.014902381,0.9828873,99
0.061953176,0.35333946,0.5847073,100
0.20264043,0.56224346,0.23511611,101
0.18393381,0.51971567,0.29635054,102
0.033210155,0.27488557,0.6919043,103
