high,medium,low,id
0.074253045,0.4056076,0.52013934,0
0.3432238,0.37746757,0.27930868,1
0.037486933,0.10196442,0.8605487,2
0.0442268,0.3199778,0.63579535,3
0.06472013,0.24030872,0.6949712,4
0.002000346,0.044320144,0.9536795,5
0.021755995,0.2685199,0.7097241,6
0.07705531,0.5224287,0.40051597,7
0.06967863,0.397399,0.5329224,8
0.035452053,0.24636547,0.7181825,9
0.0028988686,0.03326976,0.96383137,10
0.062442116,0.40476125,0.5327967,11
0.052083477,0.40085205,0.5470645,12
0.0074370974,0.0459331,0.94662976,13
0.0067478106,0.0936226,0.8996296,14
0.008153324,0.09452453,0.8973221,15
0.079403095,0.3447624,0.5758345,16
0.0004735007,0.0067149065,0.9928116,17
0.022585215,0.09298313,0.88443166,18
0.10455132,0.42468184,0.4707668,19
0.038311064,0.25469607,0.70699286,20
0.009610074,0.10097463,0.88941526,21
0.058267083,0.34250027,0.5992327,22
0.1917519,0.5478698,0.2603783,23
0.009984027,0.17013504,0.81988096,24
0.1685585,0.53998095,0.29146057,25
0.010986697,0.14979276,0.83922046,26
0.19226907,0.44247395,0.36525697,27
0.059462592,0.2806221,0.65991527,28
0.06606918,0.1940934,0.7398374,29
0.12329189,0.0510016,0.8257065,30
0.096537314,0.53062737,0.37283534,31
0.016282221,0.06756893,0.91614884,32
0.3870056,0.42283216,0.19016223,33
0.004400309,0.07284834,0.92275137,34
0.058690418,0.20728496,0.73402464,35
0.16276057,0.5563763,0.2808631,36
0.1398711,0.57152975,0.2885992,37
0.002849716,0.05626978,0.9408805,38
0.018822031,0.1781981,0.8029799,39
0.023016715,0.2785334,0.6984499,40
0.009441199,0.03251958,0.9580393,41
0.04771859,0.31059688,0.64168453,42
0.03561973,0.13730098,0.8270793,43
0.1687972,0.44359636,0.38760638,44
0.079544485,0.40777558,0.51268,45
0.17949678,0.5951798,0.22532344,46
0.096128084,0.58752334,0.31634855,47
0.07881539,0.36536545,0.55581915,48
0.037258424,0.39472017,0.5680214,49
0.032083042,0.20708543,0.76083153,50
0.40571707,0.43043584,0.1638471,51
0.011427245,0.12789387,0.8606789,52
0.10287628,0.4285647,0.46855906,53
0.004433399,0.06896892,0.92659765,54
0.046746694,0.50384146,0.44941184,55
0.011988984,0.06124258,0.9267684,56
0.42482337,0.3161281,0.25904852,57
0.01066779,0.14091513,0.8484171,58
0.047050133,0.40223497,0.5507149,59
0.0042203492,0.051950257,0.94382936,60
0.0005190112,0.0082114255,0.9912696,61
0.0027007263,0.026442898,0.97085637,62
0.01724256,0.34082994,0.6419275,63
0.0034678814,0.02855346,0.9679787,64
0.014681204,0.19669805,0.7886207,65
0.024747718,0.39154595,0.5837064,66
0.01307882,0.047016706,0.93990445,67
0.083632685,0.7151588,0.20120849,68
0.13607141,0.41003215,0.45389637,69
0.0045594093,0.064699,0.93074155,70
0.0020791125,0.03231213,0.9656087,71
0.0018192232,0.013127863,0.9850529,72
0.007167337,0.08875169,0.9040809,73
0.060582988,0.31530002,0.624117,74
0.015516802,0.12326282,0.8612204,75
0.0008676607,0.009019065,0.99011326,76
0.03693511,0.25426134,0.7088036,77
0.027600456,0.08745055,0.88494897,78
0.69283164,0.22367902,0.08348931,79
0.1152768,0.5012229,0.3835003,80
0.0025308663,0.036190696,0.96127844,81
0.10419108,0.42741153,0.4683974,82
0.041046467,0.39773336,0.56122017,83
0.13289672,0.512007,0.35509628,84
0.15060043,0.47059584,0.37880376,85
0.0016641994,0.025871068,0.97246474,86
0.06639732,0.273484,0.6601187,87
0.16981412,0.42144337,0.40874243,88
0.18719083,0.31678948,0.49601972,89
0.09305194,0.37957352,0.5273745,90
0.3309844,0.54489374,0.12412184,91
0.046473023,0.41093683,0.5425902,92
0.0023545127,0.028602079,0.96904343,93
0.002555868,0.020011041,0.977433,94
0.51297426,0.3566704,0.1303553,95
0.004188435,0.052278694,0.9435328,96
0.02974676,0.32006338,0.6501899,97
0.00089533604,0.023132766,0.9759719,98
0.0020296804,0.015441407,0.9825289,99
0.06351177,0.3690269,0.5674614,100
0.21656299,0.5549291,0.22850794,101
0.17326419,0.5384953,0.28824052,102
0.029682096,0.26568568,0.70463216,103
0.16976674,0.55372834,0.27650496,104
0.5371435,0.34314296,0.119713515,105
0.097868055,0.19499718,0.7071347,106
0.020575577,0.15864693,0.82077754,107
0.06094104,0.2179971,0.7210619,108
0.10190543,0.41292816,0.48516637,109
0.102915816,0.7582524,0.13883181,110
0.00067582226,0.011218545,0.98810565,111
0.05688451,0.20982963,0.7332859,112
0.18726747,0.40750763,0.40522495,113
0.20006207,0.44536015,0.35457784,114
0.009206607,0.079096206,0.9116972,115
0.0002436392,0.0070025534,0.9927538,116
0.032589793,0.32621586,0.64119434,117
0.04541358,0.4887754,0.465811,118
0.065521024,0.687646,0.24683301,119
0.0024888355,0.020927759,0.97658336,120
0.018975962,0.09119396,0.8898301,121
0.11410606,0.528897,0.35699695,122
0.066292115,0.29098487,0.6427231,123
0.042805377,0.38824472,0.5689499,124
0.0024087792,0.02787095,0.9697203,125
0.0022508327,0.02813358,0.9696156,126
0.10632226,0.46736974,0.426308,127
0.019131413,0.23614632,0.7447223,128
0.002001543,0.087254204,0.9107442,129
0.77391875,0.1718128,0.0542685,130
0.13539574,0.32169157,0.5429127,131
0.019545523,0.1403708,0.8400837,132
0.08802412,0.43498218,0.47699365,133
0.025114387,0.21778698,0.7570986,134
0.01082579,0.09890418,0.89027005,135
0.0021505645,0.01892449,0.978925,136
0.027288815,0.31517348,0.6575377,137
0.062460296,0.23378776,0.7037519,138
0.11247204,0.30351707,0.5840109,139
0.13106596,0.62788594,0.2410481,140
0.002181226,0.014233209,0.9835856,141
0.001632543,0.014998441,0.98336905,142
0.009648308,0.1078065,0.8825452,143
0.12571003,0.4902834,0.38400653,144
0.02399353,0.1644371,0.81156933,145
0.0017753915,0.029996358,0.9682283,146
0.028346125,0.06290175,0.9087521,147
0.2872205,0.5620594,0.15072016,148
0.025859226,0.327843,0.64629775,149
0.002178533,0.0012515954,0.9965699,150
0.00056262524,0.010627133,0.9888102,151
0.028082686,0.21638347,0.7555339,152
0.07546283,0.43817422,0.48636293,153
0.051572777,0.21417925,0.7342479,154
0.070810355,0.30565542,0.6235342,155
0.051779334,0.33763257,0.61058813,156
0.00051154895,0.009175837,0.9903126,157
0.04653561,0.20959128,0.7438731,158
0.014999062,0.24991226,0.7350887,159
0.022924386,0.1950258,0.78204983,160
0.11591208,0.5374406,0.3466473,161
0.039038386,0.30818364,0.65277797,162
0.046658445,0.3572831,0.5960585,163
0.018349629,0.37082556,0.6108248,164
0.0038578704,0.09131703,0.9048251,165
0.02435026,0.32862568,0.64702404,166
0.042505585,0.25138387,0.70611054,167
0.0024570236,0.02055074,0.97699225,168
0.07718884,0.3088746,0.61393654,169
0.14117749,0.42223307,0.43658945,170
0.022672582,0.14709264,0.83023477,171
0.056155838,0.4438019,0.5000423,172
0.019975677,0.09163855,0.8883857,173
0.012898593,0.21395375,0.77314764,174
0.004979581,0.15151685,0.8435036,175
0.09561355,0.37646744,0.52791905,176
0.11237147,0.4270729,0.46055558,177
0.004590541,0.029535223,0.96587425,178
0.11682039,0.3038793,0.5793003,179
0.014985139,0.2318951,0.75311977,180
0.0009037925,0.0034350648,0.9956611,181
0.012871967,0.20962657,0.77750146,182
0.52685314,0.3075226,0.16562429,183
0.2410575,0.52507764,0.23386481,184
0.03278112,0.39657143,0.5706474,185
0.0032366642,0.019497456,0.9772659,186
0.0758459,0.26437858,0.65977556,187
0.011341079,0.059092097,0.9295668,188
0.08239269,0.27727497,0.64033234,189
0.006162752,0.028579637,0.96525764,190
0.0050519267,0.05493839,0.9400097,191
0.006211103,0.07484886,0.91894007,192
0.07880432,0.2536966,0.6674991,193
0.22129482,0.5801169,0.19858824,194
0.004914476,0.027776817,0.96730864,195
0.07452514,0.4486666,0.4768083,196
0.1415991,0.5425958,0.3158051,197
0.14721192,0.5912784,0.2615097,198
0.110019185,0.34297103,0.54700977,199
0.5425672,0.35626015,0.10117263,200
0.23196341,0.48812905,0.27990752,201
0.44434157,0.46254924,0.09310922,202
